Program Number,Program Type,Program Facility Name,Site Class,Address1,Address2,Locality,County,ZIPCode,SWIS Code,DEC Region,Latitude,Longitude,Control Code,Control Type,OU,Project Name,Project Completion Date,Waste Name,Contaminants,Owner Name,Owner Address1,Owner Address2,Owner City,Owner State,Owner ZIP,Disposal Name,Disposal Address1,Disposal Address2,Disposal City,Disposal ZIP,Disposal State,Operator Name,Operator Address1,Operator Address2,Operator City,Operator State,Operator Zip,Georeference,NYS Municipal Boundaries 2,New York Zip Codes 2,Counties 2
V00641,VCP,Hunts Pt. FDC Perimeter,C,Food Center Drive,,Bronx,Bronx,10474-,0301,2,40.807098710,-73.874550160,Deed Restriction,Deed Restriction,01,Remedial Investigation,2005-03-31T00:00:00.000,,,NYC Department of Small Business Services,110 William Street,,New York,NY,10038,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.87455016, 40.80709871]}",307,745,2032
336045,HW,Interceram,02,20 Fortune Road West,,Wallkill,Orange,10940,3652,3,41.475094580,-74.374596880,Environmental Easement,Environmental Easement,01,Site Characterization,1993-11-01T00:00:00.000,,trichloroethene (TCE),INGO PRIEBKE LLC,11 Somerset Lane,,Warwick,NY,10990,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-74.37459688, 41.47509458]}",886,1541,2134
B00136,ERP,Jonas Automotive Site,C,86 Wisner Avenue,,Newburgh (c),Orange,12550-,3611,3,41.503354140,-74.039589110,Environmental Easement,Environmental Easement,01,Remedial Design,2010-09-03T00:00:00.000,,lead,Newburgh Commercial Development Corp.,610 Broadway,,Newburgh,NY,12550,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-74.03958911, 41.50335414]}",891,987,2134
130120,HW,K - Stewart Ave. - Garden City Holder,C,600 Stewart Ave.,,East Garden City,Nassau,11530,3020,1,40.730599107,-73.611689511,Environmental Easement,Environmental Easement,01,Site Characterization,2012-02-07T00:00:00.000,,coal tar,,,,,,,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.611689511, 40.730599107]}",62,1357,2094
V00237,VCP,Kings Electronics,C,40 Marbledale Road,,Tuckahoe,Westchester,10707-,6024,3,40.950858250,-73.821553820,Deed Restriction,Deed Restriction,01,Remedial Design,2003-02-04T00:00:00.000,Hazardous Substances,,matt pesot,5 Old lancaster Road,,malvern,PA,19355,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.82155382, 40.95085825]}",975,1446,2185
558008,HW,Kingsbury Landfill,04,Burgoyne Avenue,,Kingsbury,Washington,12839,5844,5,43.296177000,-73.565959940,Environmental Easement,Environmental Easement,01,,2021-10-31T00:00:00.000,,benzene,James Sherman,3420 Burgoyne Ave.,,Hudson Falls,NY,12839,,,,,,,Dana Hogan,,,,NY,,"{'type': 'Point', 'coordinates': [-73.56595994, 43.296177]}",719,101,2184
558008,HW,Kingsbury Landfill,04,Burgoyne Avenue,,Kingsbury,Washington,12839,5844,5,43.296177000,-73.565959940,Environmental Easement,Environmental Easement,01,,2021-10-31T00:00:00.000,,"1,3-dichlorobenzene",BURGOYNE AVENUE,Town Office,210 Main Street,HUDSON FALLS,NY,12839,,,,,,,Dana Hogan,,,,NY,,"{'type': 'Point', 'coordinates': [-73.56595994, 43.296177]}",719,101,2184
558008,HW,Kingsbury Landfill,04,Burgoyne Avenue,,Kingsbury,Washington,12839,5844,5,43.296177000,-73.565959940,Environmental Easement,Environmental Easement,02,Remedial Investigation,2014-03-31T00:00:00.000,,polychlorinated biphenyls (PCB),James Sherman,3420 Burgoyne Ave.,,Hudson Falls,NY,12839,,,,,,,Dana Hogan,,,,NY,,"{'type': 'Point', 'coordinates': [-73.56595994, 43.296177]}",719,101,2184
907044,HW,Lexington Machining LLC,C,201 Winchester Road,,Lakewood,Chautauqua,14750,0722,9,42.100005342,-79.329985779,Environmental Easement,Environmental Easement,01,Site Characterization,2014-10-10T00:00:00.000,,"1,1,1-trichloroethane",Charles Jenkins,677 Buffalo Road,,Rochester,NY,14611,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-79.329985779, 42.100005342]}",224,1725,2035
V00147,VCP,LILCO - Edgemere Substation,C,Beach 52nd Street and Rockaway Beach Blvd.,,Edgemere,Queens,11691,4101,2,40.592505000,-73.783223000,Deed Restriction,Deed Restriction,01,Remedial Action,2015-10-16T00:00:00.000,,benzene,"Sy Gruza, Esq.",333 Earle Ovington Blvd,suite 403,Uniondale,NY,11553,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.783223, 40.592505]}",196,1028,2137
