Program Number,Program Type,Program Facility Name,Site Class,Address1,Address2,Locality,County,ZIPCode,SWIS Code,DEC Region,Latitude,Longitude,Control Code,Control Type,OU,Project Name,Project Completion Date,Waste Name,Contaminants,Owner Name,Owner Address1,Owner Address2,Owner City,Owner State,Owner ZIP,Disposal Name,Disposal Address1,Disposal Address2,Disposal City,Disposal ZIP,Disposal State,Operator Name,Operator Address1,Operator Address2,Operator City,Operator State,Operator Zip,Georeference,NYS Municipal Boundaries 2,New York Zip Codes 2,Counties 2
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,17,Site Characterization,2005-05-24T00:00:00.000,,manganese,Seneca County,1 Dipronio Drive,,Waterloo,NY,13165,US Department of the Army,,,,,ZZ,US Department of the Army - Seneca Depot,Route 96A,,Romulus,NY,14541,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
712004,HW,"Rosen Site (a.k.a. Scrap King, Inc.)",02,Pendleton Street,,Cortland,Cortland,13045,1222,7,42.591774730,-76.174348260,Deed Restriction,Deed Restriction,01,Remedial Investigation,1998-03-01T00:00:00.000,,"1,1-dichloroethane",PHILLIP ROSEN,PENDLETON STREET,,CORTLAND,NY,13045,PHILLIP ROSEN,,,,,ZZ,"Wickwire Brothers, Inc.",Pendleton Street,,Cortland,NY,13045,"{'type': 'Point', 'coordinates': [-76.17434826, 42.59177473]}",778,362,620
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,01B,Site Characterization,2004-03-15T00:00:00.000,,trichloroethene (TCE),New York Seneca Limited Partnership,"380 Union Street, Suite 300",,West Springfield,MA,01089,US Department of the Army,,,,,ZZ,US Department of the Army - Seneca Depot,Route 96A,,Romulus,NY,14541,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,14,Remedial Investigation,2003-11-12T00:00:00.000,,benzo(b)fluoranthene,New York Seneca Limited Partnership,"380 Union Street, Suite 300",,West Springfield,MA,01089,US Department of the Army,,,,,ZZ,US Department of the Army - Seneca Depot,Route 96A,,Romulus,NY,14541,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
734036,HW,Salina Town Landfill,02,Wolf Street (NYS Route 11),,Syracuse,Onondaga,13212,3448,7,43.090070670,-76.154644260,Environmental Easement,Environmental Easement,01,Remedial Design,2010-08-12T00:00:00.000,PCB LADEN FLOOR ADSORBENTS,,DEPT. A-3 REAL ESTATE TX,300 ERIE BOULEVARD,,SYRACUSE,NY,13202,TOWN OF SALINA,201 School Road,,Liverpool,,NY,Frank PAvia,201 School Road,,Liverpool,NY,,"{'type': 'Point', 'coordinates': [-76.15464426, 43.09007067]}",690,726,2132
546022,HW,Rocket Test Site (Malta test station),04,Plains Road,,Malta,Saratoga,12151,4640,5,42.966678660,-73.757860660,Other Controls,Other Controls,01,Remedial Action,1999-09-24T00:00:00.000,UNSYMMETRICAL DIMETHYL HYDRAZINE  (D001),dimethylhydrazine,LUTHER FOREST TECHNOLOGY CAMPUS,28 CLINTON STREET,,SARATOGA,NY,12866,,,,,,,RAY KAZYAKA,PLAINS ROAD RD 3,,BALLSTON SPA,NY,12020,"{'type': 'Point', 'coordinates': [-73.75786066, 42.96667866]}",1001,1148,2141
241002,HW,Phelps Dodge Refining Corporation,02,42-02 56th Road,,Maspeth,Queens,11378,4101,2,40.724799370,-73.922678510,Environmental Easement,Environmental Easement,01,Remedial Design,2016-04-13T00:00:00.000,LEAD,chromium,56th road and 43rd street LLC,11-20 37th Avenue,,Long Island City,NY,11101,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.92267851, 40.72479937]}",196,847,2137
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,08,Remedial Investigation,2009-08-10T00:00:00.000,,benzo(a)anthracene,New York Seneca Limited Partnership,"380 Union Street, Suite 300",,West Springfield,MA,01089,US Department of the Army,,,,,ZZ,US Department of the Army - Seneca Depot,Route 96A,,Romulus,NY,14541,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,17,Site Characterization,2004-05-07T00:00:00.000,,chrysene,"Seneca BioEnergy, LLC","500 Technology Farm Drive, Suite 12",,Geneva,NY,14456,US Department of the Army,,,,,ZZ,US Department of the Army - Seneca Depot,Route 96A,,Romulus,NY,14541,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,17,Site Characterization,2004-05-07T00:00:00.000,,zinc,Seneca County,1 Dipronio Drive,,Waterloo,NY,13165,US Department of the Army,,,,,ZZ,Earl M. Martin,3236 Hoster Road,,Seneca Falls,NY,13148,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,20,Remedial Investigation,2017-03-30T00:00:00.000,,zinc,SenecaCounty Sewer District No. 2,1 Dipronio Drive,,Waterloo,NY,13165,US Department of the Army,,,,,ZZ,US Department of the Army - Seneca Depot,Route 96A,,Romulus,NY,14541,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,08,Remedial Investigation,2009-08-10T00:00:00.000,,zinc,Seneca County Water District No. 1,1 Dipronio Dr,,Waterloo,NY,13165,US Department of the Army,,,,,ZZ,US Department of the Army - Seneca Depot,Route 96A,,Romulus,NY,14541,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,03,,2021-09-30T00:00:00.000,,perfluorooctanoic acid,"NYS Parks, Recreation & Historic Preservation Agency",Building 1,Empire State Plaza,Albany,NY,12238,US Department of the Army,,,,,ZZ,Earl M. Martin,3236 Hoster Road,,Seneca Falls,NY,13148,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,15,Remedial Investigation,2005-02-11T00:00:00.000,,lead,Town of Romulus,P.O. Box 177,,Willard,NY,14588,US Department of the Army,,,,,ZZ,US Department of the Army - Seneca Depot,Route 96A,,Romulus,NY,14541,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,08,Remedial Investigation,2009-08-10T00:00:00.000,,chrysene,Town of Romulus,P.O. Box 177,,Willard,NY,14588,US Department of the Army,,,,,ZZ,Earl M. Martin,3236 Hoster Road,,Seneca Falls,NY,13148,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
C828125,BCP,River Park Commons - Townhouses,C,205-405 Mt. Hope Avenue,,Rochester,Monroe,14620,2814,8,43.145643951,-77.610298208,Environmental Easement,Environmental Easement,00,Certificate of Completion,2010-10-05T00:00:00.000,,"indeno(1,2,3-CD)pyrene",Timothy Fournier,183 East Main Street,6th Floor,Rochester,NY,14604,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-77.610298208, 43.145643951]}",537,1679,2093
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,17,,2005-11-25T00:00:00.000,,copper,New York Seneca Limited Partnership,"380 Union Street, Suite 300",,West Springfield,MA,01089,US Department of the Army,,,,,ZZ,US Department of the Army - Seneca Depot,Route 96A,,Romulus,NY,14541,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,21,Remedial Action,2008-12-29T00:00:00.000,,chrysene,Sarah Davis,1 DiPronio Dr.,,Waterloo,NY,13165,US Department of the Army,,,,,ZZ,Earl M. Martin,3236 Hoster Road,,Seneca Falls,NY,13148,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
734036,HW,Salina Town Landfill,02,Wolf Street (NYS Route 11),,Syracuse,Onondaga,13212,3448,7,43.090070670,-76.154644260,Environmental Easement,Environmental Easement,01,Remedial Design,2010-08-12T00:00:00.000,,toluene,DEPT. A-3 REAL ESTATE TX,300 ERIE BOULEVARD,,SYRACUSE,NY,13202,TOWN OF SALINA,201 School Road,,Liverpool,,NY,Frank PAvia,201 School Road,,Liverpool,NY,,"{'type': 'Point', 'coordinates': [-76.15464426, 43.09007067]}",690,726,2132
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,17,Remedial Investigation,2007-01-31T00:00:00.000,,manganese,New York Seneca Limited Partnership,"380 Union Street, Suite 300",,West Springfield,MA,01089,US Department of the Army,,,,,ZZ,Earl M. Martin,3236 Hoster Road,,Seneca Falls,NY,13148,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,06,Remedial Investigation,2008-12-31T00:00:00.000,,sodium,SenecaCounty Sewer District No. 2,1 Dipronio Drive,,Waterloo,NY,13165,US Department of the Army,,,,,ZZ,Earl M. Martin,3236 Hoster Road,,Seneca Falls,NY,13148,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,20,,2008-12-30T00:00:00.000,,arsenic,SenecaCounty Sewer District No. 2,1 Dipronio Drive,,Waterloo,NY,13165,US Department of the Army,,,,,ZZ,US Department of the Army - Seneca Depot,Route 96A,,Romulus,NY,14541,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,21,Site Characterization,2005-03-30T00:00:00.000,,PCB aroclor 1260,Seneca County Water District No. 1,1 Dipronio Dr,,Waterloo,NY,13165,US Department of the Army,,,,,ZZ,Earl M. Martin,3236 Hoster Road,,Seneca Falls,NY,13148,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
C360098,BCP,PolyChrome Manufacturing Site,C,80-94 Alexander Street,,Yonkers,Westchester,10701,6018,3,40.940183980,-73.900668778,Environmental Easement,Environmental Easement,01,Remedial Design,2018-07-23T00:00:00.000,,chromium,Christopher Reynolds,"1633 Broadway, Suite 22B",,New York,NY,10016,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.900668778, 40.94018398]}",948,1441,2185
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,01,Remedial Action,2007-05-30T00:00:00.000,CHLORINATED SOLVENTS,chlorinated solvents,"Seneca Depot, LLC",39 State Street,Suite 300,Rochester,NY,14614,US Department of the Army,,,,,ZZ,Earl M. Martin,3236 Hoster Road,,Seneca Falls,NY,13148,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
401037,HW,Perfection Plating,04,911 11th Street,,Watervliet,Albany,12189,0118,4,42.722361580,-73.711613610,Deed Restriction,Deed Restriction,01,Remedial Investigation Amendment,2018-05-02T00:00:00.000,"REACTIVE WASTE (D003), EP TOXIC BARIUM (D005),",,Charles Essepian,27 Hills Road,,Loudonville,NY,12211,,,,,,,*** MULTIPLE SITE OWNERS ***,911 11TH STREET,,WATERVLIET,NY,12189,"{'type': 'Point', 'coordinates': [-73.71161361, 42.72236158]}",828,19,2030
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,09,,2005-11-25T00:00:00.000,,fluorene,Seneca County,1 Dipronio Drive,,Waterloo,NY,13165,US Department of the Army,,,,,ZZ,US Department of the Army - Seneca Depot,Route 96A,,Romulus,NY,14541,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
B00154,ERP,Richmond Avenue Project,C,"Canal, Church, and Niagara Streets",,Lockport,Niagara,14094,3209,9,43.170649410,-78.694161690,Environmental Easement,Environmental Easement,01,IRWA,2002-10-31T00:00:00.000,,chromium,Douglas F. Zimmerman,1 Niagara Street,,Lockport,NY,14094,UNKNOWN,,,,,NY,,,,,,,"{'type': 'Point', 'coordinates': [-78.69416169, 43.17064941]}",163,930,2131
734036,HW,Salina Town Landfill,02,Wolf Street (NYS Route 11),,Syracuse,Onondaga,13212,3448,7,43.090070670,-76.154644260,Environmental Easement,Environmental Easement,01,Remedial Action,2014-09-26T00:00:00.000,PAINT SLUDGE (D002 WASTE),,SANITATION DIV. DRAINAGE&,650 HIAWATHA BOULEVARD,,SYRACUSE,NY,13202,TOWN OF SALINA,201 School Road,,Liverpool,,NY,Frank PAvia,201 School Road,,Liverpool,NY,,"{'type': 'Point', 'coordinates': [-76.15464426, 43.09007067]}",690,726,2132
V00350,VCP,Pfizer Sites B and D,C,59-71 Gerry St. and 73-87 Gerry St.,191 Harrison Ave and 60-66 Gerry St.,Brooklyn,Kings,11206,2401,2,40.701632280,-73.947646200,Deed Restriction,Deed Restriction,01,Remedial Action,2018-07-06T00:00:00.000,,tetrachloroethene (PCE),Simon Strulovic,150 Heyward Street,,Brooklyn,NY,11206,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.9476462, 40.70163228]}",894,884,2090
C734085,BCP,Rick's Auto Redevelopment,C,136 & 138 East Genesee Street,,Baldwinsville,Onondaga,13027,3436,7,43.162459620,-76.317943124,Environmental Easement,Environmental Easement,01,Certificate of Completion,2006-12-14T00:00:00.000,,toluene,"James H. Messenger, Jr., Esq.",8303 Wheaton Road,,Baldwinsville,NY,13207,,,,,,,HAROLD TETRAULT,8212 FENNER RD.,,BALDWINSVILLE,NY,13027,"{'type': 'Point', 'coordinates': [-76.317943124, 43.16245962]}",697,346,2132
704002,HW,Robintech Site,04,Commerce Road,,Vestal,Broome,13850,0448,7,42.103576840,-75.991538750,Deed Restriction,Deed Restriction,01,Remedial Design,1997-07-27T00:00:00.000,,trichloroethene (TCE),David Culbertson,3421 Old Vestal Road,,Vestal,NY,13850,Robintech Corporation,Commerce Road,,Vestal,13850,NY,David Culbertson,3421 Old Vestal Road,,Vestal,NY,13850,"{'type': 'Point', 'coordinates': [-75.99153875, 42.10357684]}",937,466,2033
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,13,Remedial Investigation,2009-03-09T00:00:00.000,,zinc,"NYS Parks, Recreation & Historic Preservation Agency",Building 1,Empire State Plaza,Albany,NY,12238,US Department of the Army,,,,,ZZ,US Department of the Army - Seneca Depot,Route 96A,,Romulus,NY,14541,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,03,Remedial Action,2006-09-04T00:00:00.000,,trichloroethene (TCE),"NYS Parks, Recreation & Historic Preservation Agency",Building 1,Empire State Plaza,Albany,NY,12238,US Department of the Army,,,,,ZZ,Earl M. Martin,3236 Hoster Road,,Seneca Falls,NY,13148,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
130066,HW,Railroad Dry Cleaners,02,3180 Lawson Boulevard,,Oceanside,Nassau,11752,3020,1,40.633200940,-73.653970390,Environmental Easement,Environmental Easement,01,,2021-09-30T00:00:00.000,"TETRACHLOROETHYLENE {(PCE OR ""PERC."") (F001)}",tetrachloroethene (PCE),Gary Gitlin,3180 Lawson Boulevard,,Oceanside,NY,11752,,,,,,,Arba Dry Cleaners,701 Newbridge Road,,Levittown,NY,11756,"{'type': 'Point', 'coordinates': [-73.65397039, 40.63320094]}",62,1572,2094
C360098,BCP,PolyChrome Manufacturing Site,C,80-94 Alexander Street,,Yonkers,Westchester,10701,6018,3,40.940183980,-73.900668778,Environmental Easement,Environmental Easement,01,,2011-05-10T00:00:00.000,,acenapthylene,Christopher Reynolds,"1633 Broadway, Suite 22B",,New York,NY,10016,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.900668778, 40.94018398]}",948,1441,2185
633027,HW,"Primoshield, Inc.",04,1212 Saint Vincent Street,,Utica,Oneida,13501,3316,6,43.089483564,-75.227296184,Deed Restriction,Deed Restriction,01,Remedial Investigation,1995-03-01T00:00:00.000,CORROSIVE LIQUIDS,,J. Michael Mahoney,Department of Engineering,1 Kennedy Plaza,Utica,NY,13502,RICHARD FEAGIN,,,,,NY,,,,,,,"{'type': 'Point', 'coordinates': [-75.227296184, 43.089483564]}",984,1464,625
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,21,Remedial Action,2008-12-29T00:00:00.000,,benzo(a)anthracene,New York Seneca Limited Partnership,"380 Union Street, Suite 300",,West Springfield,MA,01089,US Department of the Army,,,,,ZZ,US Department of the Army - Seneca Depot,Route 96A,,Romulus,NY,14541,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
546022,HW,Rocket Test Site (Malta test station),04,Plains Road,,Malta,Saratoga,12151,4640,5,42.966678660,-73.757860660,Deed Restriction,Deed Restriction,01,Remedial Investigation,1996-07-01T00:00:00.000,SPENT SOLVENTS  (F001AND F002),,ALEC MACKAY,BOX 360,,BALLSTON SPA,NY,12020,,,,,,,RAY KAZYAKA,PLAINS ROAD RD 3,,BALLSTON SPA,NY,12020,"{'type': 'Point', 'coordinates': [-73.75786066, 42.96667866]}",1001,1148,2141
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,25,Site Characterization,2005-11-23T00:00:00.000,,mercury,"Seneca Depot, LLC",39 State Street,Suite 300,Rochester,NY,14614,US Department of the Army,,,,,ZZ,Earl M. Martin,3236 Hoster Road,,Seneca Falls,NY,13148,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,19,,2021-07-30T00:00:00.000,,acetone,New York Seneca Limited Partnership,"380 Union Street, Suite 300",,West Springfield,MA,01089,US Department of the Army,,,,,ZZ,US Department of the Army - Seneca Depot,Route 96A,,Romulus,NY,14541,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,03,Remedial Action,2006-09-04T00:00:00.000,,Perfluorooctane Sulfonic Acid,"Seneca Depot, LLC",39 State Street,Suite 300,Rochester,NY,14614,US Department of the Army,,,,,ZZ,US Department of the Army - Seneca Depot,Route 96A,,Romulus,NY,14541,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
V00350,VCP,Pfizer Sites B and D,C,59-71 Gerry St. and 73-87 Gerry St.,191 Harrison Ave and 60-66 Gerry St.,Brooklyn,Kings,11206,2401,2,40.701632280,-73.947646200,Deed Restriction,Deed Restriction,01,Remedial Design,2015-12-01T00:00:00.000,,trichloroethene (TCE),Juda Klein,236 Broadway,2nd Floor,Brooklyn,NY,11211,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.9476462, 40.70163228]}",894,884,2090
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,11,,2021-10-29T00:00:00.000,,iron,Seneca County,1 Dipronio Drive,,Waterloo,NY,13165,US Department of the Army,,,,,ZZ,US Department of the Army - Seneca Depot,Route 96A,,Romulus,NY,14541,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
B00154,ERP,Richmond Avenue Project,C,"Canal, Church, and Niagara Streets",,Lockport,Niagara,14094,3209,9,43.170649410,-78.694161690,Environmental Easement,Environmental Easement,01,Certificate of Completion,2009-06-26T00:00:00.000,,arsenic,Erik Bernardi,20 Lock Street,,Lockport,NY,14094,UNKNOWN,,,,,NY,,,,,,,"{'type': 'Point', 'coordinates': [-78.69416169, 43.17064941]}",163,930,2131
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,21,Remedial Investigation,2008-03-31T00:00:00.000,,chrysene,New York Seneca Limited Partnership,"380 Union Street, Suite 300",,West Springfield,MA,01089,US Department of the Army,,,,,ZZ,US Department of the Army - Seneca Depot,Route 96A,,Romulus,NY,14541,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
915043,HW,Pfohl Brothers Landfill,04,Aero Drive and Transit Road,,Cheektowaga,Erie,14225,1530,9,42.945060360,-78.701350940,Deed Restriction,Deed Restriction,01,Remedial Investigation,1992-02-01T00:00:00.000,PHENOL TARS SOME CONTAINING CHLORINATED BENZENES,phenol,ELIZABETH I. MCBRIDE,9450-201 MEADOWOOD DRIVE,,FORT PIERCE,FL,34951,PFOHL BROTHERS,5833 MAIN STREET,,BUFFALO,14221,NY,jon nichy,,,Cheektowaga,NY,14225,"{'type': 'Point', 'coordinates': [-78.70135094, 42.94506036]}",298,160,2041
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,16,,2008-04-29T00:00:00.000,,arsenic,SenecaCounty Sewer District No. 2,1 Dipronio Drive,,Waterloo,NY,13165,US Department of the Army,,,,,ZZ,US Department of the Army - Seneca Depot,Route 96A,,Romulus,NY,14541,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,09,,2005-11-25T00:00:00.000,,benzo(a)pyrene,Seneca County,1 Dipronio Drive,,Waterloo,NY,13165,US Department of the Army,,,,,ZZ,US Department of the Army - Seneca Depot,Route 96A,,Romulus,NY,14541,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
203001,HW,Pelham Bay Landfill,04,3410 Bruckner Boulevard,,New York City,Bronx,10474,0301,2,40.856497650,-73.813981960,Deed Restriction,Deed Restriction,01,Remedial Design,1994-03-01T00:00:00.000,ALKYL PHENOL,,Kay Zias,"The Arsenal, Central Park",830 5th Avenue,New York,NY,10065,NYC DEPT. PARKS /NYC DEPT. SANITATION,51 CHAMBER STREET,,NEW YORK,10007,NY,NYC SANITATION DEPARTMENT,51 CHAMBER STREET,,NEW YORK,NY,10007,"{'type': 'Point', 'coordinates': [-73.81398196, 40.85649765]}",307,,2032
V00350,VCP,Pfizer Sites B and D,C,59-71 Gerry St. and 73-87 Gerry St.,191 Harrison Ave and 60-66 Gerry St.,Brooklyn,Kings,11206,2401,2,40.701632280,-73.947646200,Deed Restriction,Deed Restriction,01,Remedial Action,2018-07-06T00:00:00.000,,tetrachloroethene (PCE),Berish Ekstein and Joseph Jacob,85 Gerry Street,,Brooklyn,NY,11206,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.9476462, 40.70163228]}",894,884,2090
130004,HW,RUCO Polymer Corp. (Hooker Chem),02,125 New South Road,,Hicksville,Nassau,11801,3024,1,40.757202720,-73.503473990,Environmental Easement,Environmental Easement,01,Remedial Action,2002-01-31T00:00:00.000,POLYESTER,,"Simone, Joseph","1250 Waters Place, PH1",,Bronx,NY,10461,,,,,,NY,Mirgel Volker,100 Bayer Road,,Pittsburgh,PA,15205,"{'type': 'Point', 'coordinates': [-73.50347399, 40.75720272]}",59,1489,2094
850006,HW,Seneca Army Depot,02,Route 96A,,Romulus,Seneca,14541,5030,8,42.714718000,-76.881875000,Environmental Easement,Environmental Easement,21,Remedial Action,2008-12-29T00:00:00.000,,benzo(k)fluoranthene,Seneca County,1 Dipronio Drive,,Waterloo,NY,13165,US Department of the Army,,,,,ZZ,Earl M. Martin,3236 Hoster Road,,Seneca Falls,NY,13148,"{'type': 'Point', 'coordinates': [-76.881875, 42.714718]}",578,363,2144
C241087,BCP,Queens West (Hunter's Point) Parcel 8,C,Center Blvd. and 47th Rd. and 48th Ave.,,Long Island City,Queens,11101,4101,2,40.745364820,-73.958009228,Environmental Easement,Environmental Easement,01,Remedial Design,2010-09-23T00:00:00.000,,phenanthrene,,,,,,,,,,,,,Justin Carroll,,,,NY,,"{'type': 'Point', 'coordinates': [-73.958009228, 40.74536482]}",196,879,2095
734036,HW,Salina Town Landfill,02,Wolf Street (NYS Route 11),,Syracuse,Onondaga,13212,3448,7,43.090070670,-76.154644260,Environmental Easement,Environmental Easement,01,Remedial Design,2013-12-23T00:00:00.000,,chromium,SANITATION DIV. DRAINAGE&,650 HIAWATHA BOULEVARD,,SYRACUSE,NY,13202,TOWN OF SALINA,201 School Road,,Liverpool,,NY,Frank PAvia,201 School Road,,Liverpool,NY,,"{'type': 'Point', 'coordinates': [-76.15464426, 43.09007067]}",690,726,2132
401037,HW,Perfection Plating,04,911 11th Street,,Watervliet,Albany,12189,0118,4,42.722361580,-73.711613610,Decision Document,Decision Document,01,Remedial Action,1998-05-01T00:00:00.000,"REACTIVE WASTE (D003), EP TOXIC BARIUM (D005),",,Charles Essepian,180 Old Loudon Rd,,Latham,NY,12110-3905,,,,,,,*** MULTIPLE SITE OWNERS ***,911 11TH STREET,,WATERVLIET,NY,12189,"{'type': 'Point', 'coordinates': [-73.71161361, 42.72236158]}",828,19,2030
734036,HW,Salina Town Landfill,02,Wolf Street (NYS Route 11),,Syracuse,Onondaga,13212,3448,7,43.090070670,-76.154644260,Environmental Easement,Environmental Easement,01,Site Characterization,1994-05-01T00:00:00.000,,cadmium,SANITATION DIV. DRAINAGE&,650 HIAWATHA BOULEVARD,,SYRACUSE,NY,13202,TOWN OF SALINA,201 School Road,,Liverpool,,NY,Town of Salina,201 School Street,,Liverpool,NY,13088,"{'type': 'Point', 'coordinates': [-76.15464426, 43.09007067]}",690,726,2132
